device_number,hoursfloor,poke_reward,count,mode,sex,days
7,-62,pellet,14,Empty,f,-3
7,-61,pellet,11,Empty,f,-3
7,-60,pellet,13,Empty,f,-3
7,-59,pellet,14,Empty,f,-3
7,-58,pellet,7,Empty,f,-3
7,-57,pellet,5,Empty,f,-3
7,-56,pellet,12,Empty,f,-3
7,-55,pellet,7,Empty,f,-3
7,-54,pellet,2,Empty,f,-3
7,-53,pellet,7,Empty,f,-3
7,-52,pellet,13,Empty,f,-3
7,-51,pellet,0,Empty,f,-3
7,-50,pellet,6,Empty,f,-3
7,-49,pellet,2,Empty,f,-3
7,-48,pellet,0,Empty,f,-2
7,-47,pellet,0,Empty,f,-2
7,-46,pellet,12,Empty,f,-2
7,-45,pellet,0,Empty,f,-2
7,-44,pellet,10,Empty,f,-2
7,-43,pellet,16,Empty,f,-2
7,-42,pellet,12,Empty,f,-2
7,-41,pellet,6,Empty,f,-2
7,-40,pellet,11,Empty,f,-2
7,-39,pellet,14,Empty,f,-2
7,-38,pellet,19,Empty,f,-2
7,-37,pellet,15,Empty,f,-2
7,-36,pellet,2,Empty,f,-2
7,-35,pellet,1,Empty,f,-2
7,-34,pellet,13,Empty,f,-2
7,-33,pellet,18,Empty,f,-2
7,-32,pellet,7,Empty,f,-2
7,-31,pellet,5,Empty,f,-2
7,-30,pellet,6,Empty,f,-2
7,-29,pellet,1,Empty,f,-2
7,-28,pellet,7,Empty,f,-2
7,-27,pellet,0,Empty,f,-2
7,-26,pellet,6,Empty,f,-2
7,-25,pellet,4,Empty,f,-2
7,-24,pellet,5,Empty,f,-1
7,-23,pellet,4,Empty,f,-1
7,-22,pellet,10,Empty,f,-1
7,-21,pellet,11,Empty,f,-1
7,-20,pellet,6,Empty,f,-1
7,-19,pellet,5,Empty,f,-1
7,-18,pellet,11,Empty,f,-1
7,-17,pellet,17,Empty,f,-1
7,-16,pellet,12,Empty,f,-1
7,-15,pellet,20,Empty,f,-1
7,-14,pellet,21,Empty,f,-1
7,-13,pellet,18,Empty,f,-1
7,-12,pellet,0,Empty,f,-1
7,-11,pellet,7,Empty,f,-1
7,-10,pellet,10,Empty,f,-1
7,-9,pellet,14,Empty,f,-1
7,-8,pellet,8,Empty,f,-1
7,-7,pellet,0,Empty,f,-1
7,-6,pellet,14,Empty,f,-1
7,-5,pellet,1,Empty,f,-1
7,-4,pellet,0,Empty,f,-1
7,-3,pellet,8,Empty,f,-1
7,-2,pellet,2,Empty,f,-1
7,-1,pellet,0,Empty,f,-1
7,0,pellet,2,Social,f,0
7,1,pellet,4,Social,f,0
7,2,pellet,6,Social,f,0
7,3,pellet,13,Social,f,0
7,4,pellet,2,Social,f,0
7,5,pellet,10,Social,f,0
7,6,pellet,14,Social,f,0
7,7,pellet,10,Social,f,0
7,8,pellet,12,Social,f,0
7,9,pellet,21,Social,f,0
7,10,pellet,3,Social,f,0
7,11,pellet,6,Social,f,0
7,12,pellet,16,Social,f,0
7,13,pellet,16,Social,f,0
7,14,pellet,14,Social,f,0
7,15,pellet,1,Social,f,0
7,16,pellet,0,Social,f,0
7,17,pellet,7,Social,f,0
7,18,pellet,0,Social,f,0
7,19,pellet,8,Social,f,0
7,20,pellet,0,Social,f,0
7,21,pellet,2,Social,f,0
7,22,pellet,0,Social,f,0
7,23,pellet,2,Social,f,0
7,24,pellet,9,Social,f,1
7,25,pellet,10,Social,f,1
7,26,pellet,0,Social,f,1
7,27,pellet,4,Social,f,1
7,28,pellet,6,Social,f,1
7,29,pellet,7,Social,f,1
7,30,pellet,11,Social,f,1
7,31,pellet,11,Social,f,1
7,32,pellet,17,Social,f,1
7,33,pellet,15,Social,f,1
7,34,pellet,7,Social,f,1
7,35,pellet,0,Social,f,1
7,36,pellet,21,Social,f,1
7,37,pellet,8,Social,f,1
7,38,pellet,18,Social,f,1
7,39,pellet,7,Social,f,1
7,40,pellet,0,Social,f,1
7,41,pellet,1,Social,f,1
7,42,pellet,0,Social,f,1
7,43,pellet,4,Social,f,1
7,44,pellet,7,Social,f,1
7,45,pellet,0,Social,f,1
7,46,pellet,6,Social,f,1
7,47,pellet,4,Social,f,1
7,48,pellet,9,Social,f,2
7,49,pellet,6,Social,f,2
7,50,pellet,9,Social,f,2
7,51,pellet,6,Social,f,2
7,52,pellet,2,Social,f,2
7,53,pellet,6,Social,f,2
7,54,pellet,9,Social,f,2
7,55,pellet,10,Social,f,2
7,56,pellet,16,Social,f,2
7,57,pellet,9,Social,f,2
7,58,pellet,4,Social,f,2
7,59,pellet,10,Social,f,2
7,60,pellet,17,Social,f,2
7,61,pellet,7,Social,f,2
7,62,pellet,17,Social,f,2
7,63,pellet,0,Social,f,2
7,64,pellet,5,Social,f,2
7,65,pellet,1,Social,f,2
7,66,pellet,0,Social,f,2
7,67,pellet,8,Social,f,2
7,68,pellet,0,Social,f,2
7,69,pellet,7,Social,f,2
7,70,pellet,3,Social,f,2
7,71,pellet,5,Social,f,2
8,-72,pellet,8,Empty,f,-3
8,-71,pellet,6,Empty,f,-3
8,-70,pellet,2,Empty,f,-3
8,-69,pellet,2,Empty,f,-3
8,-68,pellet,10,Empty,f,-3
8,-67,pellet,11,Empty,f,-3
8,-66,pellet,5,Empty,f,-3
8,-65,pellet,8,Empty,f,-3
8,-64,pellet,15,Empty,f,-3
8,-63,pellet,16,Empty,f,-3
